"","Ticker","SharesOutstanding","SO_Units","PublicFloat","PF_Units","SharesSoldShort","SSS_Units","ChangefromLast","PercentofFloat","Shares_Outstanding","Public_Float","Shares_Sold_Short"
"246","AVA",68.74,"M",68.03,"M",3.06,"M",2.69,4.5,68740000,68030000,3060000
"247","AVAL",357.16,"M",NA,NA,800715,NA,-10.97,NA,357160000,NA,800715
"248","AVAN",60,"M",NA,NA,94475,NA,-87.54,NA,6e+07,NA,94475
"249","AVB",139.61,"M",138.22,"M",2.7,"M",4.55,1.96,139610000,138220000,2700000
"250","AVD",30.29,"M",26.43,"M",373177,NA,-5.67,1.41,30290000,26430000,373177
"251","AVLR",84.57,"M",82.04,"M",1.43,"M",-20.66,1.74,84570000,82040000,1430000
"252","AVNS",47.83,"M",46.96,"M",1.78,"M",-7.63,3.78,47830000,46960000,1780000
"253","AVNT",91.48,"M",90.38,"M",1.81,"M",-7.95,2.01,91480000,90380000,1810000
"254","AVTR",578.34,"M",549.62,"M",13.45,"M",-17.19,2.45,578340000,549620000,13450000
"255","AVTR.PRA",NA,NA,NA,NA,1049,NA,-98.13,NA,NA,NA,1049
"256","AVY",83.42,"M",82.93,"M",567451,NA,2.88,0.68,83420000,82930000,567451
"257","AVYA",83.89,"M",82.45,"M",11.27,"M",-0.66,13.66,83890000,82450000,11270000
"258","AWI",47.86,"M",47.26,"M",1.47,"M",-3.26,3.11,47860000,47260000,1470000
"259","AWK",181.27,"M",180.74,"M",1.36,"M",-0.51,0.75,181270000,180740000,1360000
"260","AWR",36.89,"M",36.41,"M",842903,NA,0.36,2.32,36890000,36410000,842903
"261","AX",59.7,"M",52.79,"M",2.37,"M",-2.18,4.48,59700000,52790000,2370000
"262","AXL",113.27,"M",109.53,"M",6.94,"M",4.44,6.33,113270000,109530000,6940000
"263","AXO",NA,NA,NA,NA,114,NA,100,NA,NA,NA,114
"264","AXP",805,"M",804.25,"M",6.9,"M",9.68,0.86,8.05e+08,804250000,6900000
"265","AXR",7.32,"M",2.83,"M",16785,NA,-14.89,0.59,7320000,2830000,16785
"266","AXS",84.32,"M",75.32,"M",1.08,"M",1.09,1.43,84320000,75320000,1080000
"267","AXS.PRE",NA,NA,NA,NA,2901,NA,-73.74,NA,NA,NA,2901
"268","AXTA",235.48,"M",234.63,"M",6.75,"M",22.75,2.88,235480000,234630000,6750000
"269","AYI",36.84,"M",35.5,"M",3.43,"M",-2.65,9.65,36840000,35500000,3430000
"270","AYX",54.04,"M",51.13,"M",5.7,"M",21.67,11.16,54040000,51130000,5700000
"271","AZEK",154.74,"M",149.2,"M",2.66,"M",4.29,1.78,154740000,149200000,2660000
"272","AZO",23.18,"M",22.67,"M",490173,NA,9.68,2.16,23180000,22670000,490173
"273","AZRE",47.84,"M",32.46,"M",152964,NA,-43.81,0.47,47840000,32460000,152964
"274","AZUL",109.97,"M",NA,NA,9.25,"M",0.46,NA,109970000,NA,9250000
"275","AZZ",25.36,"M",24.91,"M",499894,NA,-8.27,2.01,25360000,24910000,499894
"276","B",50.62,"M",46.51,"M",773381,NA,-0.71,1.66,50620000,46510000,773381
"277","BA",564.53,"M",563.56,"M",10.95,"M",3.27,1.94,564530000,563560000,10950000
"278","BABA",2.71,"B",2.7,"B",40.45,"M",8.82,1.5,2.71e+09,2.7e+09,40450000
"279","BAC",8.65,"B",8.63,"B",81.31,"M",10.55,0.94,8.65e+09,8.63e+09,81310000
"280","BAC.PRA",NA,NA,NA,NA,9535,NA,-0.69,NA,NA,NA,9535
"281","BAC.PRB",NA,NA,NA,NA,41752,NA,-57.94,NA,NA,NA,41752
"282","BAC.PRC",NA,NA,NA,NA,39583,NA,-76.53,NA,NA,NA,39583
"283","BAC.PRE",NA,NA,NA,NA,262219,NA,46.27,NA,NA,NA,262219
"284","BAC.PRK",NA,NA,NA,NA,21535,NA,-54.78,NA,NA,NA,21535
